,pkgs,customers,percent
0,com.google.android.googlequicksearchbox,19108.0,0.95
1,com.facebook.katana,15727.0,0.78
2,com.whatsapp,19479.0,0.97
3,com.google.android.youtube,14326.0,0.71
4,com.lbe.parallel.intl,231.0,0.01
5,com.google.android.apps.photos,9384.0,0.47
6,com.facebook.orca,3276.0,0.16
7,com.google.android.apps.docs,1062.0,0.05
8,com.teslacoilsw.launcher,647.0,0.03
9,com.facebook.lite,322.0,0.02
10,com.instagram.android,8341.0,0.42
11,com.android.chrome,15065.0,0.75
12,com.bradesco,342.0,0.02
13,com.android.dialer,14420.0,0.72
14,com.google.android.apps.translate,123.0,0.01
15,com.android.settings,2565.0,0.13
16,com.motorola.cameraone,3381.0,0.17
17,com.ss.android.article.mynews.br,143.0,0.01
18,com.mercadolibre,818.0,0.04
19,com.estrongs.android.pop,653.0,0.03
20,com.twitter.android,800.0,0.04
21,com.google.android.music,2006.0,0.1
22,com.flayvr.flayvr,1071.0,0.05
23,com.android.vending,1627.0,0.08
24,com.microsoft.office.outlook,298.0,0.01
25,com.itau,352.0,0.02
26,com.spotify.music,1053.0,0.05
27,com.google.android.apps.maps,1574.0,0.08
28,com.google.android.apps.messaging,1473.0,0.07
29,com.android.documentsui,231.0,0.01
30,com.motorola.ccc.ota,664.0,0.03
31,com.wisesharksoftware.photogallery,126.0,0.01
32,com.google.android.deskclock,2647.0,0.13
33,com.ubercab,751.0,0.04
34,com.netflix.mediaclient,2417.0,0.12
35,com.studiosol.palcomp3,108.0,0.01
36,com.psafe.msuite,915.0,0.05
37,com.snapchat.android,1374.0,0.07
38,com.schibsted.bomnegocio.androidApp,1037.0,0.05
39,deezer.android.app,280.0,0.01
40,com.pinterest,524.0,0.03
41,com.android.contacts,884.0,0.04
42,com.cleanmaster.mguard,541.0,0.03
43,com.android.calculator2,1117.0,0.06
44,com.motorola.dtv,491.0,0.02
45,com.snaptube.premium,537.0,0.03
46,com.forshared,183.0,0.01
47,com.tinder,497.0,0.02
48,com.waze,859.0,0.04
49,com.steam.photoeditor,223.0,0.01
50,org.telegram.messenger,144.0,0.01
51,com.miniclip.eightballpool,391.0,0.02
52,com.google.android.gm,1468.0,0.07
53,com.cleanmaster.security,408.0,0.02
54,com.supercell.clashroyale,1020.0,0.05
55,kr.co.ladybugs.fourto,383.0,0.02
56,br.com.mobits.cartolafc,739.0,0.04
57,com.lenovo.FileBrowser2,163.0,0.01
58,com.ubercab.driver,151.0,0.01
59,com.google.android.calendar,206.0,0.01
60,me.pou.app,156.0,0.01
61,com.king.farmheroessaga,332.0,0.02
62,com.alensw.PicFolder,268.0,0.01
63,com.supercell.clashofclans,320.0,0.02
64,com.motorola.fmplayer,250.0,0.01
65,com.google.android.gms,116.0,0.01
66,com.avast.android.mobilesecurity,318.0,0.02
67,com.bestweatherfor.bibleoffline_pt_ra,107.0,0.01
68,com.outfit7.mytalkingangelafree,133.0,0.01
69,com.badoo.mobile,186.0,0.01
70,media.audioplayer.musicplayer,108.0,0.01
71,com.nianticlabs.pokemongo,174.0,0.01
72,br.com.bb.android,443.0,0.02
73,com.roidapp.photogrid,130.0,0.01
74,com.nip.cennoticias,130.0,0.01
75,de.lotum.whatsinthefoto.brazil,113.0,0.01
76,com.google.android.calculator,404.0,0.02
77,com.soundcloud.android,105.0,0.01
78,com.skype.raider,137.0,0.01
79,com.antivirus,118.0,0.01
80,com.king.candycrushsaga,509.0,0.03
81,net.peakgames.amy,136.0,0.01
82,com.scores365,135.0,0.01
83,br.com.gabba.Caixa,300.0,0.01
84,com.badpigsoftware.advanced.gallery,280.0,0.01
85,com.linkedin.android,105.0,0.01
86,com.atomicadd.fotos,120.0,0.01
87,com.outfit7.mytalkingtomfree,125.0,0.01
88,com.firsttouchgames.story,102.0,0.01
89,com.alibaba.aliexpresshd,295.0,0.01
90,com.santander.app,212.0,0.01
91,com.contextlogic.wish,312.0,0.02
92,com.king.petrescuesaga,180.0,0.01
93,tv.twitch.android.app,129.0,0.01
94,com.fourtaps.brpro,108.0,0.01
95,com.mojang.minecraftpe,157.0,0.01
96,com.ftw_and_co.happn,109.0,0.01
97,com.socialnmobile.dictapps.notepad.color.note,160.0,0.01
98,com.adobe.reader,123.0,0.01
99,com.kiloo.subwaysurf,183.0,0.01
100,com.king.candycrushsodasaga,271.0,0.01
101,br.com.parciais.parciais,128.0,0.01
102,com.microsoft.office.word,163.0,0.01
103,com.yahoo.mobile.client.android.mail,171.0,0.01
104,com.mxtech.videoplayer.ad,102.0,0.01
105,com.firsttouchgames.dls3,188.0,0.01
106,com.globo.globotv,213.0,0.01
107,com.google.android.apps.youtube.kids,110.0,0.01
108,org.jw.jwlibrary.mobile,122.0,0.01
109,com.king.bubblewitch3,108.0,0.01
110,org.mozilla.firefox,127.0,0.01
111,com.playrix.homescapes,116.0,0.01
112,com.studiosol.cifraclub,148.0,0.01
