   ,pkgs                                         ,customers,percent
0  ,com.google.android.googlequicksearchbox      ,6.0      ,0.75
1  ,com.android.chrome                           ,6.0      ,0.75
2  ,com.google.android.apps.photos               ,6.0      ,0.75
3  ,com.whatsapp                                 ,6.0      ,0.75
4  ,com.teslacoilsw.launcher                     ,1.0      ,0.13
5  ,com.android.vending                          ,5.0      ,0.63
6  ,com.android.calculator2                      ,4.0      ,0.5
7  ,com.motorola.cameraone                       ,6.0      ,0.75
8  ,com.facebook.katana                          ,5.0      ,0.63
9  ,com.jovemnerd.app                            ,1.0      ,0.13
10 ,com.facebook.orca                            ,6.0      ,0.75
11 ,com.android.dialer                           ,6.0      ,0.75
12 ,com.king.bubblewitch3                        ,1.0      ,0.13
13 ,com.google.android.apps.messaging            ,5.0      ,0.63
14 ,jp.konami.duellinks                          ,1.0      ,0.13
15 ,com.android.contacts                         ,5.0      ,0.63
16 ,com.google.android.apps.docs                 ,3.0      ,0.38
17 ,com.instagram.android                        ,4.0      ,0.5
18 ,com.scientificCalculator                     ,1.0      ,0.13
19 ,com.flayvr.flayvr                            ,1.0      ,0.13
20 ,com.google.android.deskclock                 ,4.0      ,0.5
21 ,com.discord                                  ,1.0      ,0.13
22 ,com.google.android.youtube                   ,4.0      ,0.5
23 ,net.skstudios.notes                          ,1.0      ,0.13
24 ,com.cleanmaster.mguard                       ,1.0      ,0.13
25 ,com.snapchat.android                         ,1.0      ,0.13
26 ,com.cleanmaster.security                     ,1.0      ,0.13
27 ,com.motorola.fmplayer                        ,2.0      ,0.25
28 ,com.android.settings                         ,6.0      ,0.75
29 ,com.aa.generaladaptiveapps                   ,1.0      ,0.13
30 ,com.icondice.screenshotlite                  ,1.0      ,0.13
31 ,com.netflix.mediaclient                      ,2.0      ,0.25
32 ,com.google.android.play.games                ,2.0      ,0.25
33 ,com.google.android.gms                       ,4.0      ,0.5
34 ,com.estrongs.android.pop                     ,1.0      ,0.13
35 ,com.google.android.gm                        ,4.0      ,0.5
36 ,com.google.android.music                     ,3.0      ,0.38
37 ,com.ansangha.drparking4                      ,1.0      ,0.13
38 ,br.nanoit.viewbus                            ,1.0      ,0.13
39 ,com.gameloft.android.ANMP.GloftA8HM          ,1.0      ,0.13
40 ,com.android.captiveportallogin               ,2.0      ,0.25
41 ,com.memrise.android.memrisecompanion         ,1.0      ,0.13
42 ,com.avast.android.mobilesecurity             ,1.0      ,0.13
43 ,com.dropbox.android                          ,1.0      ,0.13
44 ,com.motorola.brapps                          ,1.0      ,0.13
45 ,com.scores365                                ,1.0      ,0.13
46 ,com.pinterest                                ,1.0      ,0.13
47 ,hotmail.sign.in.hot.mail.app                 ,1.0      ,0.13
48 ,com.google.android.talk                      ,1.0      ,0.13
49 ,com.google.android.apps.youtube.gaming       ,1.0      ,0.13
50 ,com.microsoft.office.excel                   ,1.0      ,0.13
51 ,br.com.netoreboucas.ponto                    ,1.0      ,0.13
52 ,br.com.mobits.cartolafc                      ,1.0      ,0.13
53 ,com.android.documentsui                      ,4.0      ,0.5
54 ,com.mjc.mediaplayer                          ,1.0      ,0.13
55 ,com.google.android.calendar                  ,2.0      ,0.25
56 ,com.twitter.android                          ,1.0      ,0.13
57 ,com.google.android.apps.maps                 ,1.0      ,0.13
58 ,com.KEISEEntertainment.CorreDesnecessauro    ,1.0      ,0.13
59 ,com.imo.android.imoim                        ,1.0      ,0.13
60 ,com.snaptube.premium                         ,1.0      ,0.13
61 ,com.miniclip.eightballpool                   ,1.0      ,0.13
62 ,com.xcs.fbvideos                             ,1.0      ,0.13
63 ,com.cyworld.camera                           ,1.0      ,0.13
64 ,corneteiros.parciaiscartoleiros              ,1.0      ,0.13
65 ,com.santander.app                            ,1.0      ,0.13
66 ,net.mobigame.zombietsunami                   ,1.0      ,0.13
67 ,br.com.lge.smartTruco                        ,1.0      ,0.13
68 ,com.mediocre.pinout                          ,1.0      ,0.13
69 ,com.itaucard.activity                        ,1.0      ,0.13
70 ,com.AnionSoftware.DeathPipeFree              ,1.0      ,0.13
71 ,com.google.android.apps.photos.scanner       ,1.0      ,0.13
72 ,com.makerappbrasil.verdadeoumentira          ,1.0      ,0.13
73 ,com.byebyegame.tamago                        ,1.0      ,0.13
74 ,com.motorola.genie                           ,1.0      ,0.13
75 ,com.lucascampos.oqueeoquee                   ,1.0      ,0.13
76 ,com.globo.globotv                            ,1.0      ,0.13
77 ,com.itau                                     ,1.0      ,0.13
78 ,com.google.android.inputmethod.latin         ,1.0      ,0.13
79 ,com.bradesco                                 ,1.0      ,0.13
80 ,com.cyberlink.youperfect                     ,1.0      ,0.13
81 ,com.motorola.moto                            ,1.0      ,0.13
82 ,com.motorola.actions                         ,1.0      ,0.13
83 ,com.digitalchemy.calculator.freedecimal      ,1.0      ,0.13
84 ,com.motorola.motodisplay                     ,1.0      ,0.13
85 ,com.itau.applight                            ,1.0      ,0.13
86 ,com.scorp                                    ,1.0      ,0.13
87 ,com.slipcorp.paperplane                      ,1.0      ,0.13
88 ,com.dojomadness.oversumo                     ,1.0      ,0.13
89 ,com.ubercab                                  ,1.0      ,0.13
90 ,com.gmail.pontobarragame.Menino_do_Acre      ,1.0      ,0.13
91 ,com.taxis99                                  ,1.0      ,0.13
92 ,com.ea.gp.fifaultimate                       ,1.0      ,0.13
93 ,fb.video.downloader                          ,1.0      ,0.13
94 ,br.com.parciais.parciais                     ,1.0      ,0.13
95 ,de.motain.iliga                              ,1.0      ,0.13
96 ,com.pocket.arena.pa                          ,1.0      ,0.13
97 ,com.google.android.marvin.talkback           ,1.0      ,0.13
98 ,com.rcplatform.nocrop                        ,1.0      ,0.13
99 ,com.android.bluetooth                        ,1.0      ,0.13
100,com.google.android.tts                       ,1.0      ,0.13
101,com.forshared                                ,1.0      ,0.13
102,com.motorola.coresettingsext                 ,1.0      ,0.13
103,br.com.mobile.ticket                         ,1.0      ,0.13
104,tv.twitch.android.app                        ,1.0      ,0.13
105,com.blizzard.wtcg.hearthstone                ,1.0      ,0.13
106,com.android.phone                            ,1.0      ,0.13
107,com.gigigo.ipirangaconectcar                 ,1.0      ,0.13
108,com.alensw.PicFolder                         ,1.0      ,0.13
109,com.spotify.music                            ,1.0      ,0.13
110,com.socialnmobile.dictapps.notepad.color.note,1.0      ,0.13
111,br.com.vivo                                  ,1.0      ,0.13
