  ,pkgs                                   ,customers,percent
0 ,com.ea.gp.fifaultimate                 ,1.0      ,0.13
1 ,com.google.android.youtube             ,7.0      ,0.88
2 ,com.teslacoilsw.launcher               ,1.0      ,0.13
3 ,com.whatsapp                           ,8.0      ,1.0
4 ,com.google.android.googlequicksearchbox,8.0      ,1.0
5 ,com.facebook.katana                    ,6.0      ,0.75
6 ,com.pinterest                          ,1.0      ,0.13
7 ,com.android.chrome                     ,7.0      ,0.88
8 ,com.netflix.mediaclient                ,4.0      ,0.5
9 ,com.facebook.orca                      ,1.0      ,0.13
10,br.com.mobits.cartolafc                ,1.0      ,0.13
11,com.google.android.deskclock           ,2.0      ,0.25
12,com.android.vending                    ,1.0      ,0.13
13,com.instagram.android                  ,1.0      ,0.13
14,com.fortafygames.colorswitch           ,1.0      ,0.13
15,com.aa.generaladaptiveapps             ,1.0      ,0.13
16,com.google.android.apps.photos         ,3.0      ,0.38
17,jp.konami.duellinks                    ,1.0      ,0.13
18,com.android.dialer                     ,3.0      ,0.38
19,com.google.android.music               ,1.0      ,0.13
20,com.android.contacts                   ,1.0      ,0.13
21,com.gameloft.android.ANMP.GloftA8HM    ,1.0      ,0.13
22,com.cleanmaster.mguard                 ,1.0      ,0.13
23,com.ansangha.drparking4                ,1.0      ,0.13
24,com.discord                            ,1.0      ,0.13
25,com.jovemnerd.app                      ,1.0      ,0.13
26,com.mjc.mediaplayer                    ,1.0      ,0.13
27,com.twitter.android                    ,1.0      ,0.13
28,com.supercell.clashroyale              ,1.0      ,0.13
29,com.zeptolab.ctr.ads                   ,1.0      ,0.13
30,com.firsttouchgames.dls3               ,1.0      ,0.13
