,pkgs,customers,percent
0,com.whatsapp,8.0,1.0
1,com.motorola.cameraone,2.0,0.25
2,com.google.android.apps.photos,3.0,0.38
3,com.facebook.katana,4.0,0.5
4,com.google.android.googlequicksearchbox,7.0,0.88
5,com.android.chrome,5.0,0.63
6,com.facebook.orca,1.0,0.13
7,com.teslacoilsw.launcher,1.0,0.13
8,com.android.dialer,2.0,0.25
9,com.android.vending,1.0,0.13
10,com.jovemnerd.app,1.0,0.13
11,com.king.bubblewitch3,1.0,0.13
12,com.instagram.android,1.0,0.13
13,com.google.android.youtube,3.0,0.38
14,jp.konami.duellinks,1.0,0.13
15,com.netflix.mediaclient,2.0,0.25
16,com.estrongs.android.pop,1.0,0.13
17,com.google.android.gm,1.0,0.13
18,com.ansangha.drparking4,1.0,0.13
19,com.gameloft.android.ANMP.GloftA8HM,1.0,0.13
20,com.pinterest,1.0,0.13
21,com.google.android.calendar,1.0,0.13
22,com.twitter.android,1.0,0.13
