,barcodes,pkgs,duration_sec
0,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,br.com.mobile.ticket,51.24
1,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,br.com.mobits.cartolafc,1396.074
2,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,br.com.vivo,69.738
3,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.calculator2,250.292
4,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.chrome,2759.078
5,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.contacts,107.967
6,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.dialer,945.349
7,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.documentsui,4.506
8,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.settings,260.99
9,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.android.vending,177.169
10,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.avast.android.mobilesecurity,37.457
11,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.cyberlink.youcammakeup,78.566
12,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.cyberlink.youperfect,419.852
13,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.cyworld.camera,568.595
14,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.dropbox.android,1768.385
15,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.facebook.katana,87629.158
16,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.facebook.orca,506.972
17,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.forshared,302.74
18,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.apps.messaging,92.018
19,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.apps.photos,1029.911
20,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.calendar,56.918
21,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.deskclock,671.685
22,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.gm,164.362
23,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.gms,31.959
24,ie0a5b3c3aeff2d1cbd9274aed1816770052667115,com.google.android.googlequicksearchbox,6761.362
